Genotype,Bacteria,Condition,Odor,Method,Concentration,Response.time,Experimenter,Date,,,
cest-2.1,OP50,control,30pct,,,8.75,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,3.31,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,1.09,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,2.4,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,1.99,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,5.41,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,6.78,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,4.78,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,2.19,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,3.49,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,2.93,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,6.28,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,5.35,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,4.63,TB,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,2.44,TB,2021-09-07,,,
N2,OP50,control,30pct,,,7,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,3,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,3.01,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,2.8,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,8.6,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,2.9,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,5.6,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,4.3,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,5.6,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,5.1,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,1.2,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,3.1,MOD,2021-09-07,,,
N2,OP50,control,30pct,,,12.9,MOD,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,13.6,MOD,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,2.01,MOD,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,3.6,MOD,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,13.4,MOD,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,7.2,MOD,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,3.02,MOD,2021-09-07,,,
cest-2.1,OP50,control,30pct,,,9.1,MOD,2021-09-07,,,
