Genotype,Condition,Odor,Response.time,Experimenter,Date,,,
cest-2.1,control,30pct,4.67,TB,2022-01-19,,,
cest-2.1,control,30pct,3.31,TB,2022-01-19,,,
cest-2.1,control,30pct,6.21,TB,2022-01-19,,,
cest-2.1,control,30pct,5.92,TB,2022-01-19,,,
cest-2.1,control,30pct,4.5,TB,2022-01-19,,,
cest-2.1,control,30pct,4.01,TB,2022-01-19,,,
cest-2.1,control,30pct,6.28,TB,2022-01-19,,,
cest-2.1,control,30pct,3.3,TB,2022-01-19,,,
cest-2.1,control,30pct,4.59,TB,2022-01-19,,,
cest-2.1,control,30pct,7.34,TB,2022-01-19,,,
cest-2.1,control,30pct,5.89,TB,2022-01-19,,,
cest-2.1,control,30pct,6.01,TB,2022-01-19,,,
N2,control,30pct,3.96,MD,2022-03-25,,,
N2,control,30pct,2.66,MD,2022-03-25,,,
N2,control,30pct,3.43,MD,2022-03-25,,,
N2,control,30pct,8.03,MD,2022-03-25,,,
N2,control,30pct,5.71,MD,2022-03-25,,,
N2,control,30pct,3.09,MD,2022-03-25,,,
N2,control,30pct,4.24,MD,2022-03-25,,,
N2,control,30pct,8.21,MD,2022-03-25,,,
N2,control,30pct,14.71,MD,2022-03-25,,,
N2,control,30pct,7.46,MD,2022-03-25,,,
N2,control,30pct,9.64,MD,2022-03-25,,,
N2,control,30pct,5.08,MD,2022-03-25,,,
N2,control,30pct,3.14,MD,2022-03-25,,,
N2,control,30pct,6.26,MD,2022-03-25,,,
N2,control,30pct,8.48,MD,2022-03-25,,,
N2,control,30pct,11.26,MD,2022-03-25,,,
N2,control,30pct,6.68,MD,2022-03-25,,,
N2,control,30pct,5.48,MD,2022-03-25,,,
N2,control,30pct,2.03,MD,2022-03-25,,,
N2,control,30pct,4.83,MD,2022-03-25,,,
cest-2.1,control,30pct,4.01,MD,2022-03-25,,,
cest-2.1,control,30pct,11.33,MD,2022-03-25,,,
cest-2.1,control,30pct,8.38,MD,2022-03-25,,,
cest-2.1,control,30pct,5.64,MD,2022-03-25,,,
